CODIGO;DENOMINACION;GRUPO_CODIGO;GRUPO_NOMBRE;SECCION_CODIGO;SECCION_NOMBRE;SUBSECCION_CODIGO;SUBSECCION_NOMBRE;SITUACION
23630;Tratamiento abierto de fractura de la tuberosidad mayor del húmero, con o sin fijación interna;1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
23650;"Tratamiento cerrado de dislocación del hombro, con manipulación; sin anestesia";1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
23655;"Tratamiento cerrado de dislocación del hombro, con manipulación; con anestesia";1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
23660;Tratamiento abierto de dislocación aguda del hombro;1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
23665;Tratamiento cerrado de dislocación de hombro, con fractura de la tuberosidad mayor del húmero, con manipulación;1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
23670;Tratamiento abierto de dislocación de hombro, con fractura de la tuberosidad mayor del húmero, con o sin fijación interna;1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
23675;Tratamiento cerrado de dislocación de hombro, con fractura del cuello quirúrgico o anatómico, con manipulación;1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
23680;Tratamiento abierto de dislocación de hombro, con fractura del cuello quirúrgico o anatómico, con o sin fijación interna;1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
23700;Manipulación bajo anestesia, articulación del hombro, incluyendo la aplicación de aparato de fijación (excluida la dislocación);1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
23800;Artrodesis, articulación glenohumeral;1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
23802;"Artrodesis, articulación glenohumeral; con injerto autólogo (incluye obtención del injerto)";1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
23900;Amputación intertóracoescapular (cuarto delantero);1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
23920;Desarticulación del hombro;1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
23921;"Desarticulación del hombro; cierre secundario o revisión de cicatriz";1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
23929;Procedimiento que no aparece en la lista, hombro;1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
23930;"Incisión y drenaje, brazo o región del codo; absceso profundo o hematoma";1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
